id,test_run_id,test_suite_name,test_suite_row_id,test_suite_id,entity_test_row_id,entity_test_id,version_number,entity_id,entity_entity_id,entity_name,entity_type,entity_last_tested_date,entity_last_tested_time,entity_test_name,description,created_on,test_function,data_in,data_out,data_expected,has_tool_tip,tool_tip_text,failure_halts_test,created_by_employee_id,last_run_date,last_run_time,parent_test_row_id,parent_test_id,run_by,pass_fail_or_not_run,fail_severity,fail_reason,test_complete_notes,endl
\N,2,Home Page,9,9,9,9,1.0.0,9,9,Home Page,Parent Form,00:00:00,12:29:17,Top Level of: Home Page,This is the top level test for Home Page. For this to pass all its children must pass.,5/16/2021,,,,,\N,\N,0,SB_1,\N,\N,2,2,SB_1,PASS,,,Test Complete Notes,\N
\N,2,Home Page,9,9,10,10,1.0.0,10,10,Home Page Info Bar,Info Bar,00:00:00,12:29:25,Top Level of: Home Page Info Bar,This is the top level test for Home Page Info Bar. For this to pass all its children must pass.,5/16/2021,,,,,FALSE,-,0,SB_1,\N,\N,9,9,SB_1,PASS,,,Test Complete Notes,\N
\N,2,Home Page Info Bar,10,10,12,12,1.0.0,12,12,Current Module Indicator,Label,00:00:00,12:29:25,Current Module Indicator,Shows the currently selected module,5/16/2021,-,-,-,Payroll,FALSE,-,0,SB_1,\N,\N,10,10,SB_1,PASS,,,Test Complete Notes,\N
\N,2,Home Page Info Bar,10,10,14,14,1.0.0,14,14,Current Company,Combo,00:00:00,12:29:25,Current Company,Shows the currently selected company,5/16/2021,Peform function based on value,-,-,Mars~Mars Incorporated Ltd,FALSE,-,0,SB_1,\N,\N,10,10,SB_1,PASS,,,Test Complete Notes,\N
\N,2,Home Page Info Bar,10,10,13,13,1.0.0,13,13,Menu Toggle,Button - Function,00:00:00,12:29:25,Top Level of: Menu Toggle,This is the top level test for Menu Toggle. For this to pass all its children must pass.,5/16/2021,,,,,\N,\N,0,SB_1,\N,\N,10,10,SB_1,PASS,,,Test Complete Notes,\N
\N,2,Home Page,9,9,15,15,1.0.0,15,15,Home Page Top Right Nav Bar,Nav Bar,00:00:00,12:29:25,Top Level of: Home Page Top Right Nav Bar,This is the top level test for Home Page Top Right Nav Bar. For this to pass all its children must pass.,5/16/2021,,,,,\N,\N,0,SB_1,\N,\N,9,9,SB_1,PASS,,,Test Complete Notes,\N
\N,2,Home Page Top Right Nav Bar,15,15,16,16,1.0.0,16,16,Authorisations,Button - Display,00:00:00,12:29:25,Top Level of: Authorisations,This is the top level test for Authorisations. For this to pass all its children must pass.,5/16/2021,,,,,FALSE,-,0,SB_1,\N,\N,15,15,SB_1,PASS,,,Test Complete Notes,\N
\N,2,Home Page Top Right Nav Bar,15,15,17,17,1.0.0,17,17,Employee Creation Wizard,Button - Display,00:00:00,12:29:25,Top Level of: Employee Creation Wizard,This is the top level test for Employee Creation Wizard. For this to pass all its children must pass.,5/16/2021,,,,,FALSE,-,0,SB_1,\N,\N,15,15,SB_1,PASS,,,Test Complete Notes,\N
\N,2,Home Page Top Right Nav Bar,15,15,18,18,1.0.0,18,18,Employee CV,Button - Display,00:00:00,12:29:25,Top Level of: Employee CV,This is the top level test for Employee CV. For this to pass all its children must pass.,5/16/2021,,,,,FALSE,-,0,SB_1,\N,\N,15,15,SB_1,PASS,,,Test Complete Notes,\N
\N,2,Home Page Top Right Nav Bar,15,15,19,19,1.0.0,19,19,Employee Grid View,Button - Display,00:00:00,12:29:25,Top Level of: Employee Grid View,This is the top level test for Employee Grid View. For this to pass all its children must pass.,5/16/2021,,,,,FALSE,-,0,SB_1,\N,\N,15,15,SB_1,PASS,,,Test Complete Notes,\N
\N,2,Home Page Top Right Nav Bar,15,15,20,20,1.0.0,20,20,Visual Reports,Button - Display,00:00:00,12:29:25,Top Level of: Visual Reports,This is the top level test for Visual Reports. For this to pass all its children must pass.,5/16/2021,,,,,FALSE,-,0,SB_1,\N,\N,15,15,SB_1,PASS,,,Test Complete Notes,\N
\N,2,Home Page Top Right Nav Bar,15,15,21,21,1.0.0,21,21,Dakar Intelligence,Button - Display,00:00:00,12:29:25,Top Level of: Dakar Intelligence,This is the top level test for Dakar Intelligence. For this to pass all its children must pass.,5/16/2021,,,,,FALSE,-,0,SB_1,\N,\N,15,15,SB_1,PASS,,,Test Complete Notes,\N
\N,2,Home Page Top Right Nav Bar,15,15,22,22,1.0.0,22,22,Organisation Chart,Button - Display,00:00:00,12:29:25,Top Level of: Organisation Chart,This is the top level test for Organisation Chart. For this to pass all its children must pass.,5/16/2021,,,,,FALSE,-,0,SB_1,\N,\N,15,15,SB_1,PASS,,,Test Complete Notes,\N
\N,2,Home Page Top Right Nav Bar,15,15,23,23,1.0.0,23,23,My Company / Last Viewed,Button - Display,00:00:00,12:29:25,Top Level of: My Company / Last Viewed,This is the top level test for My Company / Last Viewed. For this to pass all its children must pass.,5/16/2021,,,,,FALSE,-,0,SB_1,\N,\N,15,15,SB_1,PASS,,,Test Complete Notes,\N
